"reassignments","bus_comp_hrs","priorities"
0,1.43,"Low"
0,64.1,"Low"
1,3.47,"Low"
1,0.7,"Low"
0,0,"Low"
0,116.15,"Medium"
3,110,"Medium"
1,1.95,"Low"
0,29.03,"Low"
0,2.02,"Medium"
1,0.55,"Low"
1,152.12,"Low"
1,72.66,"Low"
1,0.05,"Low"
0,6.75,"Low"
0,29.86,"Low"
1,4.7,"Low"
1,1527.95,"Low"
1,15.69,"Low"
0,9.18,"Low"
1,0.75,"Low"
1,0.22,"Low"
0,82.02,"High"
0,19.3,"Low"
0,0.21,"High"
2,3.17,"Medium"
1,8.49,"Low"
2,3.45,"Low"
0,3.25,"Low"
0,5.25,"Low"
1,0.73,"Low"
1,0.68,"Low"
3,1833.9,"Low"
1,1.9,"Low"
0,0.15,"Low"
1,1.73,"Low"
2,3.12,"Low"
3,95.85,"Low"
1,209.94,"Low"
1,1.57,"Low"
1,10.05,"Low"
0,0.6,"Low"
3,343.77,"Low"
1,65.64,"Low"
1,2.22,"Medium"
0,82.43,"Low"
1,9.74,"Low"
0,0.08,"Medium"
0,79.52,"Low"
1,14.33,"Medium"
2,231.82,"Low"
0,0.18,"Medium"
3,356.78,"Low"
1,15.08,"Low"
1,0.28,"Low"
1,2.42,"High"
0,63.37,"Low"
1,0,"Medium"
2,6.28,"Low"
1,6.35,"Low"
1,5.33,"Medium"
0,0,"Medium"
1,0,"Low"
1,63.35,"Low"
1,13.57,"Medium"
1,6.3,"Low"
0,1366.08,"Low"
1,5.6,"Medium"
1,61.28,"Medium"
0,5.62,"Medium"
0,5.57,"Medium"
0,5.57,"Medium"
1,7.43,"Low"
1,13.4,"Low"
1,7.38,"Low"
1,0,"Low"
0,54.12,"Low"
1,0,"Low"
4,1451.05,"Low"
1,0,"Low"
1,0,"Low"
1,0,"Low"
1,5.2,"Low"
0,5.18,"Low"
0,1.9,"Low"
0,1.85,"Low"
0,1616.47,"Low"
1,0,"Low"
1,0,"Low"
1,6.13,"Low"
1,8.42,"Low"
1,50,"Low"
1,1058.43,"Low"
1,0,"Low"
1,0,"Low"
0,50.21,"High"
0,4.84,"High"
1,6.08,"Low"
2,446.8,"Low"
1,8.52,"Low"
1,1093.7,"Low"
1,6,"Low"
0,5.72,"Low"
2,0.93,"Low"
1,44.58,"Low"
1,130.92,"Low"
2,0,"Medium"
1,0,"Medium"
1,0,"Low"
1,0,"Low"
1,0,"Low"
0,0,"Low"
0,5.33,"Low"
0,1.93,"Low"
0,0,"Low"
2,0,"Low"
0,7.03,"Low"
1,0,"Low"
0,0.78,"Low"
2,84.38,"Low"
1,6.7,"Low"
1,7.22,"Low"
1,57.98,"Low"
0,54.08,"Low"
1,0.5,"Medium"
5,304.03,"Medium"
1,20.27,"Low"
1,0.72,"Low"
1,5.88,"Low"
1,0,"Low"
1,34.62,"Low"
0,6.63,"Medium"
2,0,"Medium"
2,1.68,"Medium"
1,1.45,"Low"
1,0,"Medium"
1,0,"Low"
0,0.12,"Low"
0,0.23,"Low"
0,4.9,"High"
1,11.05,"Low"
2,41.07,"Medium"
0,141.28,"Medium"
0,0.28,"High"
1,10.48,"Low"
2,65.08,"Low"
3,1602.78,"Low"
1,3.85,"Low"
1,16.99,"Medium"
2,94.68,"Low"
1,4.9,"Medium"
1,5.72,"Low"
1,3.48,"Low"
2,2.57,"Medium"
1,792.27,"Low"
2,460.55,"Low"
2,38,"Low"
0,792.05,"Low"
1,2.3,"Medium"
1,2.07,"Medium"
0,2.43,"Medium"
0,0.7,"High"
0,3.43,"Low"
1,5.64,"Low"
1,7.97,"Low"
1,0.58,"Low"
1,0.57,"Low"
0,0.4,"Medium"
1,0.5,"Low"
2,4.98,"Medium"
1,66.89,"Low"
1,0.3,"Low"
1,7.33,"Low"
1,38.2,"Medium"
0,0.4,"Medium"
1,53.33,"Low"
1,0.42,"Low"
2,333.57,"Low"
0,0,"Medium"
2,336.58,"Low"
0,0,"Low"
1,0.18,"Low"
2,727.32,"Medium"
2,76.88,"Low"
3,26.67,"Low"
1,34.8,"Low"
1,36.2,"Low"
0,0.48,"Low"
0,0.27,"High"
0,0,"Low"
0,0,"Low"
1,0,"Low"
0,0,"Low"
0,0,"Low"
1,231.35,"Low"
1,0,"Low"
1,0,"Low"
0,3.2,"Low"
0,53.33,"Low"
1,327.72,"Low"
1,9.95,"Medium"
1,17.69,"Low"
2,405.37,"Low"
1,41.95,"Low"
1,702.28,"Medium"
3,570.85,"Low"
1,90.33,"Medium"
1,1.1,"Medium"
2,32.35,"Low"
0,1.14,"High"
3,368.02,"Low"
1,0.53,"Low"
2,432.73,"Low"
1,131.88,"Medium"
1,23.74,"Medium"
1,23.01,"High"
0,0.29,"High"
4,19.29,"Low"
1,1.75,"Low"
1,16.32,"Low"
1,49.19,"Low"
0,0.85,"High"
0,0.18,"Medium"
6,402.6,"Low"
0,5.3,"Low"
1,22.28,"Low"
1,40.33,"Low"
1,21.75,"Low"
1,6.85,"Low"
1,1.07,"Low"
1,17,"Low"
1,379.58,"Low"
0,1.01,"High"
1,1.9,"Medium"
0,3.43,"Low"
3,329.05,"Low"
0,1.28,"Low"
0,4.3,"Low"
0,4.12,"Low"
0,3.62,"Low"
5,1434.53,"Low"
2,77.38,"Low"
0,3.03,"Low"
2,10.47,"Low"
2,1639.34,"Low"
1,0.27,"Low"
3,13.13,"Low"
1,0.73,"Medium"
3,1430.94,"Low"
1,0,"Medium"
1,19.52,"Low"
0,0.22,"High"
0,0,"Medium"
0,10.42,"Low"
0,0.85,"Medium"
1,0,"Low"
1,0,"Medium"
1,0,"Low"
1,11.5,"Low"
1,1.23,"Low"
1,1.43,"Low"
1,1.67,"Low"
1,0,"Low"
1,113.43,"Low"
